month,temp_f
Janurary,18.731290322580644
Februaruy,24.394999999999996
March,37.61822580645161
April,44.61675
May,61.22798387096775
June,68.24125
July,73.02209677419356
August,72.10274193548388
September,61.672
October,51.718951612903226
November,33.676500000000004
December,26.048629032258066
